total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
146,0.53345255,0.5195396,"[23, 123]","[57, 89]",123
432,0.30922875,0.309225,"[65, 367]","[67, 365]",367
353,0.36519355,0.3645262,"[53, 300]","[64, 289]",300
21,0.69222405,0.63540065,"[4, 17]","[21, 0]",17
281,0.41960605,0.41680595,"[42, 239]","[61, 220]",239
125,0.5535348,0.53610105,"[20, 105]","[56, 69]",105
3,0.76130375,0.7180849,"[1, 2]","[3, 0]",2
451,0.2962258,0.29620545,"[68, 383]","[66, 385]",385
361,0.35937885,0.35884745,"[54, 307]","[65, 296]",307
510,0.25720235,0.25676895,"[78, 432]","[68, 442]",442
348,0.36888605,0.36809485,"[52, 296]","[63, 285]",296
442,0.30235285,0.3023523,"[66, 376]","[65, 377]",377
459,0.29080945,0.29078725,"[69, 390]","[65, 394]",394
450,0.29691535,0.29688895,"[68, 382]","[67, 383]",383
77,0.60444895,0.5746638,"[13, 64]","[56, 21]",64
235,0.45596225,0.451079,"[36, 199]","[60, 175]",199
56,0.63013,0.5918271,"[10, 46]","[55, 1]",46
336,0.37777375,0.3767149,"[50, 286]","[62, 274]",286
467,0.2854454,0.28536315,"[71, 396]","[67, 400]",400
416,0.3203114,0.32023405,"[62, 354]","[65, 351]",354
73,0.60764015,0.57791185,"[13, 60]","[56, 17]",60
350,0.36747055,0.3666701,"[52, 298]","[64, 286]",298
211,0.47619715,0.469216,"[32, 179]","[59, 152]",179
175,0.50716575,0.49693355,"[27, 148]","[59, 116]",148
306,0.40025905,0.39846935,"[46, 260]","[61, 245]",260
291,0.4116815,0.40943915,"[44, 247]","[61, 230]",247
427,0.31267475,0.3126451,"[64, 363]","[66, 361]",363
13,0.7098892,0.65620945,"[3, 10]","[13, 0]",10
94,0.58441125,0.5608769,"[16, 78]","[56, 38]",78
17,0.6954878,0.6445967,"[4, 13]","[17, 0]",13
96,0.5828214,0.559273,"[16, 80]","[56, 40]",80
53,0.6325378,0.5943243,"[10, 43]","[53, 0]",43
358,0.36164205,0.36097860000000004,"[53, 305]","[64, 294]",305
330,0.38226205,0.38106685,"[49, 281]","[61, 269]",281
338,0.3763478,0.37527425,"[50, 288]","[63, 275]",288
130,0.5482758,0.53213645,"[21, 109]","[57, 73]",109
468,0.28477045,0.28468725,"[71, 397]","[67, 401]",401
478,0.27813465,0.27795775,"[73, 405]","[67, 411]",411
228,0.46171965,0.45635845,"[35, 193]","[60, 168]",193
108,0.5698349,0.5496484,"[18, 90]","[56, 52]",90
144,0.53499345,0.5211179,"[23, 121]","[56, 88]",121
217,0.47106315,0.46465065,"[33, 184]","[60, 157]",184
201,0.484414,0.47686405,"[31, 170]","[59, 142]",170
304,0.4019624,0.39993235,"[45, 259]","[60, 244]",259
272,0.42654625,0.42341695,"[41, 231]","[60, 212]",231
364,0.35727235,0.3567097,"[54, 310]","[64, 300]",310
92,0.58796975,0.5624857,"[15, 77]","[56, 36]",77
246,0.4473192,0.4427881,"[37, 209]","[60, 186]",209
293,0.41022945,0.40797805,"[44, 249]","[60, 233]",249
215,0.47256065,0.46615845,"[33, 182]","[60, 155]",182
225,0.4645032,0.45862265,"[34, 191]","[60, 165]",191
118,0.560441,0.54165865,"[19, 99]","[56, 62]",99
417,0.31962245,0.31954115,"[62, 355]","[65, 352]",355
19,0.69385685,0.63976265,"[4, 15]","[19, 0]",15
204,0.4821482,0.4745751,"[31, 173]","[59, 145]",173
367,0.3550191,0.35458225000000004,"[55, 312]","[63, 304]",312
263,0.4335127,0.4300927,"[40, 223]","[60, 203]",223
484,0.27417215,0.27395735,"[74, 410]","[67, 417]",417
10,0.7281697,0.66750185,"[2, 8]","[10, 0]",8
277,0.4225344,0.4197386,"[42, 235]","[60, 217]",235
241,0.4515125,0.44654465,"[36, 205]","[60, 181]",205
160,0.52049695,0.50858995,"[25, 135]","[57, 103]",135
111,0.5675085,0.54725425,"[18, 93]","[56, 55]",93
