rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,33300000,3
marginal-hits,64,33350000,4
marginal-hits,64,33400000,4
marginal-hits,64,33450000,3
marginal-hits,64,33500000,3
marginal-hits,64,33550000,3
marginal-hits,64,33600000,3
marginal-hits,64,33650000,3
marginal-hits,64,33700000,4
marginal-hits,64,33750000,4
marginal-hits,64,33800000,4
marginal-hits,64,33850000,4
marginal-hits,64,33900000,4
marginal-hits,64,33950000,4
marginal-hits,64,34000000,3
marginal-hits,64,34050000,4
marginal-hits,64,34100000,5
marginal-hits,64,34150000,6
marginal-hits,64,34200000,6
marginal-hits,64,34250000,5
marginal-hits,64,34300000,4
marginal-hits,64,34350000,4
marginal-hits,64,34400000,5
marginal-hits,64,34450000,6
marginal-hits,64,34500000,7
marginal-hits,64,34550000,6
marginal-hits,64,34600000,5
marginal-hits,64,34650000,4
marginal-hits,64,34700000,4
marginal-hits,64,34750000,4
marginal-hits,64,34800000,4
marginal-hits,64,34850000,4
marginal-hits,64,34900000,5
marginal-hits,64,34950000,4
marginal-hits,64,35000000,3
marginal-hits,64,35050000,3
marginal-hits,64,35100000,4
marginal-hits,64,35150000,4
marginal-hits,64,35200000,4
marginal-hits,64,35250000,4
marginal-hits,64,35300000,3
marginal-hits,64,35350000,4
marginal-hits,64,35400000,4
marginal-hits,64,35450000,4
marginal-hits,64,35500000,3
marginal-hits,64,35550000,3
marginal-hits,64,35600000,3
marginal-hits,64,35650000,4
marginal-hits,64,35700000,3
marginal-hits,64,35750000,3
marginal-hits,64,35800000,4
marginal-hits,64,35850000,4
marginal-hits,64,35900000,4
marginal-hits,64,35950000,4
marginal-hits,64,36000000,3
marginal-hits,64,36050000,2
marginal-hits,64,36100000,3
marginal-hits,64,36150000,4
marginal-hits,64,36200000,4
marginal-hits,64,36250000,4
marginal-hits,64,36300000,5
marginal-hits,64,36350000,4
marginal-hits,64,36400000,3
marginal-hits,64,36450000,2
marginal-hits,64,36500000,3
marginal-hits,64,36550000,4
marginal-hits,64,36600000,4
marginal-hits,64,36650000,5
marginal-hits,64,36700000,5
marginal-hits,64,36750000,4
marginal-hits,64,36800000,5
marginal-hits,64,36850000,5
marginal-hits,64,36900000,5
marginal-hits,64,36950000,6
marginal-hits,64,37000000,7
marginal-hits,64,37050000,7
marginal-hits,64,37100000,6
marginal-hits,64,37150000,5
marginal-hits,64,37200000,5
marginal-hits,64,37250000,4
marginal-hits,64,37300000,4
marginal-hits,64,37350000,4
marginal-hits,64,37400000,4
marginal-hits,64,37450000,5
marginal-hits,64,37500000,5
marginal-hits,64,37550000,5
marginal-hits,64,37600000,5
marginal-hits,64,37650000,5
marginal-hits,64,37700000,6
marginal-hits,64,37750000,7
marginal-hits,64,37800000,6
marginal-hits,64,37850000,5
marginal-hits,64,37900000,4
marginal-hits,64,37950000,4
marginal-hits,64,38000000,3
marginal-hits,64,38050000,2
marginal-hits,64,38100000,2
marginal-hits,64,38150000,2
marginal-hits,64,38200000,2
marginal-hits,64,38250000,1
marginal-hits,64,38300000,2
marginal-hits,64,38350000,2
marginal-hits,64,38400000,3
marginal-hits,64,38450000,2
marginal-hits,64,38500000,3
marginal-hits,64,38550000,3
marginal-hits,64,38600000,3
marginal-hits,64,38650000,4
marginal-hits,64,38700000,5
marginal-hits,64,38750000,4
marginal-hits,64,38800000,3
marginal-hits,64,38850000,3
marginal-hits,64,38900000,4
marginal-hits,64,38950000,4
marginal-hits,64,39000000,3
marginal-hits,64,39050000,3
marginal-hits,64,39100000,4
marginal-hits,64,39150000,5
marginal-hits,64,39200000,5
marginal-hits,64,39250000,6
marginal-hits,64,39300000,6
marginal-hits,64,39350000,5
marginal-hits,64,39400000,5
marginal-hits,64,39450000,4
marginal-hits,64,39500000,3
marginal-hits,64,39550000,2
marginal-hits,64,39600000,3
marginal-hits,64,39650000,4
marginal-hits,64,39700000,3
marginal-hits,64,39750000,2
marginal-hits,64,39800000,3
marginal-hits,64,39850000,4
marginal-hits,64,39900000,4
marginal-hits,64,39950000,4
marginal-hits,64,40000000,5
marginal-hits,64,40050000,4
marginal-hits,64,40100000,3
marginal-hits,64,40150000,2
marginal-hits,64,40200000,1
marginal-hits,64,40250000,2
marginal-hits,64,40300000,3
marginal-hits,64,40350000,4
marginal-hits,64,40400000,5
marginal-hits,64,40450000,6
marginal-hits,64,40500000,6
marginal-hits,64,40550000,7
marginal-hits,64,40600000,6
marginal-hits,64,40650000,5
marginal-hits,64,40700000,6
marginal-hits,64,40750000,5
marginal-hits,64,40800000,5
marginal-hits,64,40850000,4
marginal-hits,64,40900000,4
marginal-hits,64,40950000,5
marginal-hits,64,41000000,6
marginal-hits,64,41050000,5
marginal-hits,64,41100000,6
marginal-hits,64,41150000,7
marginal-hits,64,41200000,6
marginal-hits,64,41250000,5
marginal-hits,64,41300000,4
marginal-hits,64,41350000,3
marginal-hits,64,41400000,3
marginal-hits,64,41450000,3
marginal-hits,64,41500000,4
marginal-hits,64,41550000,3
marginal-hits,64,41600000,4
marginal-hits,64,41650000,4
marginal-hits,64,41700000,4
marginal-hits,64,41750000,3
marginal-hits,64,41800000,4
marginal-hits,64,41850000,3
marginal-hits,64,41900000,3
marginal-hits,64,41950000,3
marginal-hits,64,42000000,2
marginal-hits,64,42050000,2
marginal-hits,64,42100000,2
marginal-hits,64,42150000,2
marginal-hits,64,42200000,1
marginal-hits,64,42250000,2
marginal-hits,64,42300000,3
marginal-hits,64,42350000,4
marginal-hits,64,42400000,3
marginal-hits,64,42450000,3
marginal-hits,64,42500000,2
marginal-hits,64,42550000,1
