1024,2048,256,512,4096,total_slab_cnt,total_miss_ratio
98,98,98,97,98,567,0.0386708625
98,98,98,97,98,568,0.0386708625
98,98,98,97,98,569,0.0386708625
98,98,98,97,98,570,0.0386708625
98,98,98,97,98,571,0.0386708625
98,98,98,97,98,572,0.0386708625
98,98,98,97,98,573,0.0386708625
98,98,98,97,98,574,0.0386708625
98,98,98,97,98,575,0.0386708625
98,98,98,97,98,576,0.0386708625
98,98,98,97,98,577,0.0386708625
98,98,98,97,98,578,0.0386708625
98,98,98,97,98,579,0.0386708625
98,98,98,97,98,580,0.0386708625
98,98,98,97,98,581,0.0386708625
98,98,98,97,98,582,0.0386708625
98,98,98,97,98,583,0.0386708625
98,98,98,97,98,584,0.0386708625
98,98,98,97,98,585,0.0386708625
98,98,98,97,98,586,0.0386708625
98,98,98,97,98,587,0.0386708625
98,98,98,97,98,588,0.0386708625
98,98,98,97,98,589,0.0386708625
98,98,98,97,98,590,0.0386708625
98,98,98,97,98,591,0.0386708625
98,98,98,97,98,592,0.0386708625
98,98,98,97,98,593,0.0386708625
98,98,98,97,98,594,0.0386708625
98,98,98,97,98,595,0.0386708625
98,98,98,97,98,596,0.0386708625
98,98,98,97,98,597,0.0386708625
98,98,98,97,98,598,0.0386708625
98,98,98,97,98,599,0.0386708625
98,98,98,97,98,600,0.0386708625
98,98,98,97,98,601,0.0386708625
98,98,98,97,98,602,0.0386708625
98,98,98,97,98,603,0.0386708625
98,98,98,97,98,604,0.0386708625
98,98,98,97,98,605,0.0386708625
98,98,98,97,98,606,0.0386708625
98,98,98,97,98,607,0.0386708625
98,98,98,97,98,608,0.0386708625
98,98,98,97,98,609,0.0386708625
98,98,98,97,98,610,0.0386708625
98,98,98,97,98,611,0.0386708625
98,98,98,97,98,612,0.0386708625
98,98,98,97,98,613,0.0386708625
98,98,98,97,98,614,0.0386708625
98,98,98,97,98,615,0.0386708625
98,98,98,97,98,616,0.0386708625
98,98,98,97,98,617,0.0386708625
98,98,98,97,98,618,0.0386708625
98,98,98,97,98,619,0.0386708625
98,98,98,97,98,620,0.0386708625
98,98,98,97,98,621,0.0386708625
98,98,98,97,98,622,0.0386708625
98,98,98,97,98,623,0.0386708625
98,98,98,97,98,624,0.0386708625
98,98,98,97,98,625,0.0386708625
98,98,98,97,98,626,0.0386708625
98,98,98,97,98,627,0.0386708625
98,98,98,97,98,628,0.0386708625
98,98,98,97,98,629,0.0386708625
98,98,98,97,98,630,0.0386708625
98,98,98,97,98,631,0.0386708625
98,98,98,97,98,632,0.0386708625
98,98,98,97,98,633,0.0386708625
98,98,98,97,98,634,0.0386708625
98,98,98,97,98,635,0.0386708625
98,98,98,97,98,636,0.0386708625
98,98,98,97,98,637,0.0386708625
98,98,98,97,98,638,0.0386708625
98,98,98,97,98,639,0.0386708625
98,98,98,97,98,640,0.0386708625
98,98,98,97,98,641,0.0386708625
98,98,98,97,98,642,0.0386708625
98,98,98,97,98,643,0.0386708625
98,98,98,97,98,644,0.0386708625
98,98,98,97,98,645,0.0386708625
98,98,98,97,98,646,0.0386708625
98,98,98,97,98,647,0.0386708625
98,98,98,97,98,648,0.0386708625
98,98,98,97,98,649,0.0386708625
98,98,98,97,98,650,0.0386708625
98,98,98,97,98,651,0.0386708625
98,98,98,97,98,652,0.0386708625
98,98,98,97,98,653,0.0386708625
98,98,98,97,98,654,0.0386708625
98,98,98,97,98,655,0.0386708625
98,98,98,97,98,656,0.0386708625
98,98,98,97,98,657,0.0386708625
98,98,98,97,98,658,0.0386708625
98,98,98,97,98,659,0.0386708625
98,98,98,97,98,660,0.0386708625
98,98,98,97,98,661,0.0386708625
98,98,98,97,98,662,0.0386708625
98,98,98,97,98,663,0.0386708625
98,98,98,97,98,664,0.0386708625
98,98,98,97,98,665,0.0386708625
98,98,98,97,98,666,0.0386708625
98,98,98,97,98,667,0.0386708625
98,98,98,97,98,668,0.0386708625
98,98,98,97,98,669,0.0386708625
98,98,98,97,98,670,0.0386708625
98,98,98,97,98,671,0.0386708625
98,98,98,97,98,672,0.0386708625
98,98,98,97,98,673,0.0386708625
98,98,98,97,98,674,0.0386708625
98,98,98,97,98,675,0.0386708625
98,98,98,97,98,676,0.0386708625
98,98,98,97,98,677,0.0386708625
98,98,98,97,98,678,0.0386708625
98,98,98,97,98,679,0.0386708625
98,98,98,97,98,680,0.0386708625
98,98,98,97,98,681,0.0386708625
98,98,98,97,98,682,0.0386708625
98,98,98,97,98,683,0.0386708625
98,98,98,97,98,684,0.0386708625
98,98,98,97,98,685,0.0386708625
98,98,98,97,98,686,0.0386708625
98,98,98,97,98,687,0.0386708625
98,98,98,97,98,688,0.0386708625
98,98,98,97,98,689,0.0386708625
98,98,98,97,98,690,0.0386708625
98,98,98,97,98,691,0.0386708625
98,98,98,97,98,692,0.0386708625
98,98,98,97,98,693,0.0386708625
98,98,98,97,98,694,0.0386708625
98,98,98,97,98,695,0.0386708625
98,98,98,97,98,696,0.0386708625
98,98,98,97,98,697,0.0386708625
98,98,98,97,98,698,0.0386708625
98,98,98,97,98,699,0.0386708625
98,98,98,97,98,700,0.0386708625
98,98,98,97,98,701,0.0386708625
98,98,98,97,98,702,0.0386708625
98,98,98,97,98,703,0.0386708625
98,98,98,97,98,704,0.0386708625
98,98,98,97,98,705,0.0386708625
98,98,98,97,98,706,0.0386708625
98,98,98,97,98,707,0.0386708625
98,98,98,97,98,708,0.0386708625
98,98,98,97,98,709,0.0386708625
98,98,98,97,98,710,0.0386708625
98,98,98,97,98,711,0.0386708625
98,98,98,97,98,712,0.0386708625
98,98,98,97,98,713,0.0386708625
98,98,98,97,98,714,0.0386708625
98,98,98,97,98,715,0.0386708625
98,98,98,97,98,716,0.0386708625
98,98,98,97,98,717,0.0386708625
98,98,98,97,98,718,0.0386708625
98,98,98,97,98,719,0.0386708625
98,98,98,97,98,720,0.0386708625
98,98,98,97,98,721,0.0386708625
98,98,98,97,98,722,0.0386708625
98,98,98,97,98,723,0.0386708625
98,98,98,97,98,724,0.0386708625
98,98,98,97,98,725,0.0386708625
98,98,98,97,98,726,0.0386708625
98,98,98,97,98,727,0.0386708625
98,98,98,97,98,728,0.0386708625
98,98,98,97,98,729,0.0386708625
98,98,98,97,98,730,0.0386708625
98,98,98,97,98,731,0.0386708625
98,98,98,97,98,732,0.0386708625
98,98,98,97,98,733,0.0386708625
98,98,98,97,98,734,0.0386708625
98,98,98,97,98,735,0.0386708625
98,98,98,97,98,736,0.0386708625
98,98,98,97,98,737,0.0386708625
98,98,98,97,98,738,0.0386708625
98,98,98,97,98,739,0.0386708625
98,98,98,97,98,740,0.0386708625
98,98,98,97,98,741,0.0386708625
98,98,98,97,98,742,0.0386708625
