rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
tail-age,256,730000,0.2734423125,0
marginal-hits,256,60000,0.191992225,1286
tail-age,256,10000,0.2734423125,0
free-mem,128,420000,0.4520975,0
free-mem,128,620000,0.4520975,0
tail-age,256,540000,0.2734423125,0
marginal-hits,256,520000,0.2033246125,147
hits,128,690000,0.4818465375,43
tail-age,128,20000,0.4520975,0
hits,128,320000,0.4872381,43
marginal-hits,128,680000,0.4209051625,115
tail-age,256,590000,0.2734423125,0
marginal-hits,128,40000,0.42343095,1976
hits,256,300000,0.3435815875,65
marginal-hits,128,320000,0.4185678125,246
tail-age,128,770000,0.4520975,0
hits,256,550000,0.332504,64
marginal-hits,256,380000,0.1978997125,202
marginal-hits,256,130000,0.19006725,593
marginal-hits,256,840000,0.2164936375,91
tail-age,256,20000,0.2734423125,0
marginal-hits,256,920000,0.2201949,82
free-mem,128,940000,0.4520975,0
hits,128,440000,0.4853726125,43
marginal-hits,256,340000,0.1964576125,226
tail-age,256,960000,0.2734423125,0
free-mem,128,220000,0.4520975,0
tail-age,256,470000,0.2734423125,0
free-mem,256,140000,0.2734423125,0
tail-age,128,450000,0.4520975,0
tail-age,128,10000,0.4520975,0
marginal-hits,128,200000,0.4182241875,394
free-mem,128,670000,0.4520975,0
hits,256,610000,0.3304825125,64
hits,256,690000,0.327021975,64
marginal-hits,128,20000,0.4304659375,3953
free-mem,256,210000,0.2734423125,0
hits,128,810000,0.48003785,43
hits,128,430000,0.4855235125,43
tail-age,256,490000,0.2734423125,0
tail-age,128,580000,0.4520975,0
free-mem,128,770000,0.4520975,0
free-mem,256,460000,0.2734423125,0
free-mem,256,760000,0.2734423125,0
hits,128,780000,0.480493575,43
marginal-hits,128,330000,0.4185329625,239
marginal-hits,256,600000,0.2064883375,128
hits,256,280000,0.344225125,65
hits,256,160000,0.346411275,65
free-mem,128,400000,0.4520975,0
hits,128,340000,0.4869310375,43
tail-age,128,320000,0.4520975,0
hits,256,100000,0.3493392,66
tail-age,128,100000,0.4520975,0
hits,256,800000,0.3230957625,64
hits,128,510000,0.484541225,43
tail-age,128,930000,0.4520975,0
free-mem,256,440000,0.2734423125,0
hits,128,280000,0.4877263875,43
marginal-hits,256,400000,0.1988309125,191
free-mem,128,200000,0.4520975,0
hits,256,710000,0.3268911625,64
hits,256,980000,0.3165004375,64
tail-age,128,290000,0.4520975,0
tail-age,128,310000,0.4520975,0
tail-age,128,700000,0.4520975,0
marginal-hits,256,860000,0.217355925,89
marginal-hits,128,310000,0.418523325,255
free-mem,256,940000,0.2734423125,0
marginal-hits,256,800000,0.2147032625,95
tail-age,128,850000,0.4520975,0
hits,256,620000,0.330708625,65
marginal-hits,128,240000,0.4182585,329
tail-age,128,600000,0.4520975,0
free-mem,128,610000,0.4520975,0
tail-age,128,60000,0.4520975,0
marginal-hits,256,10000,0.2071646375,6967
tail-age,128,910000,0.4520975,0
marginal-hits,128,110000,0.4189675625,718
hits,128,40000,0.4919837625,44
hits,256,330000,0.3424505875,65
marginal-hits,256,170000,0.1905734625,453
free-mem,256,100000,0.2734423125,0
hits,128,110000,0.4908222,43
marginal-hits,128,730000,0.42120865,107
tail-age,256,790000,0.2734423125,0
tail-age,128,920000,0.4520975,0
marginal-hits,256,210000,0.191737375,366
free-mem,128,860000,0.4520975,0
hits,256,940000,0.3181451625,64
hits,128,460000,0.485287475,43
hits,128,820000,0.4798914125,43
marginal-hits,128,250000,0.4183779875,315
free-mem,256,220000,0.2734423125,0
free-mem,128,320000,0.4520975,0
tail-age,256,990000,0.2734423125,0
tail-age,256,280000,0.2734423125,0
free-mem,128,230000,0.4520975,0
free-mem,128,380000,0.4520975,0
tail-age,128,250000,0.4520975,0
tail-age,128,350000,0.4520975,0
free-mem,128,110000,0.4520975,0
tail-age,256,870000,0.2734423125,0
tail-age,256,250000,0.2734423125,0
free-mem,128,20000,0.4520975,0
tail-age,256,380000,0.2734423125,0
tail-age,128,980000,0.4520975,0
tail-age,128,560000,0.4520975,0
free-mem,128,330000,0.4520975,0
tail-age,128,490000,0.4520975,0
tail-age,128,620000,0.4520975,0
hits,256,700000,0.3265796625,64
free-mem,128,580000,0.4520975,0
tail-age,128,170000,0.4520975,0
tail-age,128,460000,0.4520975,0
marginal-hits,128,800000,0.421762875,97
tail-age,256,30000,0.2734423125,0
hits,128,230000,0.4885218,43
tail-age,256,930000,0.2734423125,0
free-mem,128,760000,0.4520975,0
marginal-hits,256,730000,0.2115880375,105
tail-age,128,800000,0.4520975,0
marginal-hits,128,410000,0.4191981375,192
hits,256,200000,0.344691775,64
hits,128,750000,0.48093665,43
tail-age,256,370000,0.2734423125,0
free-mem,128,460000,0.4520975,0
tail-age,128,960000,0.4520975,0
tail-age,128,370000,0.4520975,0
free-mem,256,850000,0.2734423125,0
free-mem,128,720000,0.4520975,0
free-mem,128,970000,0.4520975,0
tail-age,256,260000,0.2734423125,0
tail-age,128,120000,0.4520975,0
tail-age,128,810000,0.4520975,0
tail-age,256,130000,0.2734423125,0
free-mem,128,270000,0.4520975,0
free-mem,256,280000,0.2734423125,0
marginal-hits,128,840000,0.4220555625,93
free-mem,128,210000,0.4520975,0
marginal-hits,128,710000,0.4211813625,110
hits,256,810000,0.3226662625,64
tail-age,256,100000,0.2734423125,0
free-mem,128,590000,0.4520975,0
hits,128,80000,0.4918172125,44
marginal-hits,128,260000,0.4184514,303
marginal-hits,256,430000,0.199711,179
free-mem,256,480000,0.2734423125,0
hits,128,560000,0.4838022875,43
tail-age,256,900000,0.2734423125,0
tail-age,256,450000,0.2734423125,0
tail-age,256,340000,0.2734423125,0
tail-age,256,140000,0.2734423125,0
free-mem,256,130000,0.2734423125,0
tail-age,256,650000,0.2734423125,0
hits,128,250000,0.4882019125,43
hits,256,70000,0.3510364375,67
marginal-hits,256,870000,0.2178036875,87
tail-age,256,640000,0.2734423125,0
tail-age,128,860000,0.4520975,0
free-mem,128,800000,0.4520975,0
marginal-hits,256,120000,0.18996515,642
tail-age,128,820000,0.4520975,0
