rebalance_strategy,slab_count,request_id,value,key,class_id
free-mem,32,2400000,0,free_slabs,0
free-mem,32,2400000,1358,hits_per_slab,4
free-mem,32,2400000,1189,hits_per_slab,3
free-mem,32,2400000,232,hits_per_slab,2
free-mem,32,2400000,2730,hits_per_slab,1
free-mem,32,2400000,237,hits_per_slab,0
free-mem,32,2400000,184,marginal_hits,4
free-mem,32,2400000,356,marginal_hits,3
free-mem,32,2400000,218,marginal_hits,2
free-mem,32,2400000,818,marginal_hits,1
free-mem,32,2400000,217,marginal_hits,0
free-mem,32,2400000,1294,tail_age,4
free-mem,32,2400000,1221,tail_age,3
free-mem,32,2400000,1132,tail_age,2
free-mem,32,2400000,1382,tail_age,1
free-mem,32,2400000,1255,tail_age,0
free-mem,32,2500000,11,num_slabs,4
free-mem,32,2500000,9,num_slabs,3
free-mem,32,2500000,7,num_slabs,2
free-mem,32,2500000,3,num_slabs,1
free-mem,32,2500000,2,num_slabs,0
free-mem,32,2500000,0,free_slabs,4
free-mem,32,2500000,0,free_slabs,3
free-mem,32,2500000,0,free_slabs,2
free-mem,32,2500000,0,free_slabs,1
free-mem,32,2500000,0,free_slabs,0
free-mem,32,2500000,1362,hits_per_slab,4
free-mem,32,2500000,1187,hits_per_slab,3
free-mem,32,2500000,217,hits_per_slab,2
free-mem,32,2500000,2722,hits_per_slab,1
free-mem,32,2500000,223,hits_per_slab,0
free-mem,32,2500000,205,marginal_hits,4
free-mem,32,2500000,344,marginal_hits,3
free-mem,32,2500000,211,marginal_hits,2
free-mem,32,2500000,810,marginal_hits,1
free-mem,32,2500000,214,marginal_hits,0
free-mem,32,2500000,1293,tail_age,4
free-mem,32,2500000,1228,tail_age,3
free-mem,32,2500000,1128,tail_age,2
free-mem,32,2500000,1383,tail_age,1
free-mem,32,2500000,1254,tail_age,0
free-mem,32,2600000,11,num_slabs,4
free-mem,32,2600000,9,num_slabs,3
free-mem,32,2600000,7,num_slabs,2
free-mem,32,2600000,3,num_slabs,1
free-mem,32,2600000,2,num_slabs,0
free-mem,32,2600000,0,free_slabs,4
free-mem,32,2600000,0,free_slabs,3
free-mem,32,2600000,0,free_slabs,2
free-mem,32,2600000,0,free_slabs,1
free-mem,32,2600000,0,free_slabs,0
free-mem,32,2600000,1370,hits_per_slab,4
free-mem,32,2600000,1183,hits_per_slab,3
free-mem,32,2600000,226,hits_per_slab,2
free-mem,32,2600000,2754,hits_per_slab,1
free-mem,32,2600000,247,hits_per_slab,0
free-mem,32,2600000,221,marginal_hits,4
free-mem,32,2600000,336,marginal_hits,3
free-mem,32,2600000,240,marginal_hits,2
free-mem,32,2600000,876,marginal_hits,1
free-mem,32,2600000,251,marginal_hits,0
free-mem,32,2600000,1301,tail_age,4
free-mem,32,2600000,1219,tail_age,3
free-mem,32,2600000,1129,tail_age,2
free-mem,32,2600000,1382,tail_age,1
